# ECO sınıflandırma tablosu — format: ECO|Ad|SAN hamleler (boşlukla ayrılmış, numarasız)
# Her satır, o pozisyona kadar oynanan hamleleri temsil eder. Sınıflandırıcı ana hattı baştan
# tarar ve en derin (en spesifik) eşleşmeyi seçer; transpozisyonlar Zobrist anahtarıyla eşleşir.

A00|Irregular Opening|a3
A00|Polish (Sokolsky) Opening|b4
A00|Van't Kruijs Opening|e3
A00|Grob's Attack|g4
A01|Nimzo-Larsen Attack|b3
A02|Bird's Opening|f4
A03|Bird's Opening|f4 d5
A04|Reti Opening|Nf3
A05|Reti Opening|Nf3 Nf6
A07|King's Indian Attack|Nf3 d5 g3
A08|King's Indian Attack|Nf3 d5 g3 c5 Bg2
A09|Reti Opening|Nf3 d5 c4
A10|English Opening|c4
A11|English, Caro-Kann Defensive System|c4 c6
A13|English Opening|c4 e6
A15|English, Anglo-Indian Defense|c4 Nf6
A20|English, King's English|c4 e5
A25|English, Sicilian Reversed|c4 e5 Nc3
A30|English, Symmetrical|c4 c5
A34|English, Symmetrical|c4 c5 Nc3
A40|Queen's Pawn Game|d4
A41|Queen's Pawn Game|d4 d6
A45|Trompowsky Attack|d4 Nf6 Bg5
A46|Queen's Pawn Game|d4 Nf6 Nf3
A48|King's Indian, London System|d4 Nf6 Nf3 g6 Bf4
A50|Queen's Indian Accelerated|d4 Nf6 c4 c5
A56|Benoni Defense|d4 Nf6 c4 c5 d5
A57|Benko Gambit|d4 Nf6 c4 c5 d5 b5
A60|Benoni Defense|d4 Nf6 c4 c5 d5 e6
A80|Dutch Defense|d4 f5
A84|Dutch Defense|d4 f5 c4
A87|Dutch, Leningrad Variation|d4 f5 g3 Nf6 Bg2 g6

B00|King's Pawn Opening|e4
B00|Nimzowitsch Defense|e4 Nc6
B01|Scandinavian Defense|e4 d5
B01|Scandinavian, Main Line|e4 d5 exd5 Qxd5
B02|Alekhine's Defense|e4 Nf6
B06|Modern Defense|e4 g6
B07|Pirc Defense|e4 d6 d4 Nf6
B09|Pirc, Austrian Attack|e4 d6 d4 Nf6 Nc3 g6 f4
B10|Caro-Kann Defense|e4 c6
B12|Caro-Kann, Advance Variation|e4 c6 d4 d5 e5
B13|Caro-Kann, Exchange Variation|e4 c6 d4 d5 exd5 cxd5
B14|Caro-Kann, Panov-Botvinnik Attack|e4 c6 d4 d5 exd5 cxd5 c4
B15|Caro-Kann Defense|e4 c6 d4 d5 Nc3
B18|Caro-Kann, Classical Variation|e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5
B20|Sicilian Defense|e4 c5
B21|Sicilian, Grand Prix Attack|e4 c5 f4
B22|Sicilian, Alapin Variation|e4 c5 c3
B23|Sicilian, Closed|e4 c5 Nc3
B27|Sicilian Defense|e4 c5 Nf3
B30|Sicilian, Old Sicilian|e4 c5 Nf3 Nc6
B32|Sicilian, Löwenthal Variation|e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5
B33|Sicilian, Sveshnikov Variation|e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5
B40|Sicilian Defense|e4 c5 Nf3 e6
B41|Sicilian, Kan Variation|e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6
B44|Sicilian, Taimanov Variation|e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6
B50|Sicilian Defense|e4 c5 Nf3 d6
B60|Sicilian, Richter-Rauzer|e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6 Bg5
B70|Sicilian, Dragon Variation|e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6
B77|Sicilian, Dragon, Yugoslav Attack|e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3
B80|Sicilian, Scheveningen Variation|e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 e6
B90|Sicilian, Najdorf Variation|e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6
B92|Sicilian, Najdorf, Opocensky Variation|e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2

C00|French Defense|e4 e6
C01|French, Exchange Variation|e4 e6 d4 d5 exd5 exd5
C02|French, Advance Variation|e4 e6 d4 d5 e5
C03|French, Tarrasch Variation|e4 e6 d4 d5 Nd2
C10|French, Rubinstein Variation|e4 e6 d4 d5 Nc3 dxe4
C11|French, Classical Variation|e4 e6 d4 d5 Nc3 Nf6
C15|French, Winawer Variation|e4 e6 d4 d5 Nc3 Bb4
